question,category,level,requireLockIn,nonNeg,documentary,beenAsked
Who is your favourite Spice Girl?,50647b88-b49d-48c2-899f-01ec6f1ad77e,Light,TRUE,FALSE,TRUE,FALSE
You find a wallet full of £20 notes on the floor. What do you do?,50647b88-b49d-48c2-899f-01ec6f1ad77e,Light,FALSE,FALSE,FALSE,FALSE
What part of your personality would you rather not pass onto another child?,09704acd-f205-4afd-807d-692f8e513840,Deep,TRUE,FALSE,FALSE,FALSE
What is your ideal date?,ccdac514-519c-4c2c-b9e6-643688ac73ba,Light,FALSE,TRUE,TRUE,FALSE
How do you celebrate your birthday?,2521097c-128f-4720-8b0e-ca2d946d96c0,Light,FALSE,FALSE,FALSE,FALSE
When do you feel most comfortable within yourself?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,Medium ,FALSE,FALSE,TRUE,FALSE
What do you value more - kindness or intelligence?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,Medium ,FALSE,TRUE,TRUE,FALSE
Who do you idolise?,2521097c-128f-4720-8b0e-ca2d946d96c0,Medium ,TRUE,FALSE,TRUE,FALSE
Do you have any regrets?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,Deep,TRUE,TRUE,FALSE,FALSE
Do you own a gun?,c76b8c70-efce-4474-832a-6c3cccb6550e,Medium ,TRUE,FALSE,FALSE,FALSE
What parts of your personality would you rather not pass onto another child?,e4b7e410-7605-4bb8-b507-db5a3711a543,Deep,FALSE,TRUE,FALSE,FALSE
Why did you want to do this?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,Medium ,TRUE,TRUE,FALSE,FALSE
Are there any questions I haven’t asked that you think I should have asked you?,09704acd-f205-4afd-807d-692f8e513840,Medium ,TRUE,TRUE,TRUE,FALSE
What makes you happy?,ccdac514-519c-4c2c-b9e6-643688ac73ba,Deep,TRUE,FALSE,TRUE,FALSE
What are you hungry for?,024a264a-fe34-469d-b60d-e74c3a519ca3,Medium ,FALSE,FALSE,FALSE,FALSE
Have you ever tried to conceive? For how long?,09704acd-f205-4afd-807d-692f8e513840,Deep,FALSE,TRUE,TRUE,FALSE
Are any of your family mixed race?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,Medium ,TRUE,TRUE,TRUE,FALSE
Do you own any Lucy and Yak,09704acd-f205-4afd-807d-692f8e513840,Light,FALSE,TRUE,TRUE,FALSE
What is your favourite way to exercise/keep fit,c76b8c70-efce-4474-832a-6c3cccb6550e,Light,FALSE,TRUE,FALSE,FALSE
Do you know any magic tricks? If so can you do it now?,0144753f-3590-4091-bfeb-7433d137e5ba,Light,FALSE,TRUE,TRUE,FALSE
Do you wish you were famous?,9c219554-49de-4a99-8c14-86ea62a84c41,Light,TRUE,TRUE,FALSE,FALSE
What embaresses you?,024a264a-fe34-469d-b60d-e74c3a519ca3,Medium ,TRUE,FALSE,FALSE,FALSE
Have you ever had a lucid dream (dream where you know you are dreaming),e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,Light,FALSE,TRUE,FALSE,FALSE
Do you love with your heart or your mind?,0144753f-3590-4091-bfeb-7433d137e5ba,Light,TRUE,TRUE,FALSE,FALSE
When’s your sleep cycle?,e4b7e410-7605-4bb8-b507-db5a3711a543,Medium ,TRUE,FALSE,FALSE,FALSE
What’s your discipline style?,50647b88-b49d-48c2-899f-01ec6f1ad77e,Medium ,FALSE,TRUE,TRUE,FALSE
What do you want from me right now? In 5 years and in 20 years?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,Medium ,FALSE,FALSE,FALSE,FALSE
At what age should you teach children about death?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,Medium ,FALSE,FALSE,FALSE,FALSE
Do you plan? Or do you go with the flow?,e4b7e410-7605-4bb8-b507-db5a3711a543,Light,TRUE,FALSE,FALSE,FALSE
Do you believe people are inherently good or bad?,09704acd-f205-4afd-807d-692f8e513840,Medium ,FALSE,TRUE,FALSE,FALSE
When is the last time you lied?,2521097c-128f-4720-8b0e-ca2d946d96c0,Deep,FALSE,FALSE,FALSE,FALSE
Are you a bad boi?,c76b8c70-efce-4474-832a-6c3cccb6550e,Light,FALSE,TRUE,TRUE,FALSE
How did you play?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,Light,FALSE,TRUE,TRUE,FALSE
How do you react to losing a game?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,Light,FALSE,TRUE,FALSE,FALSE
What is your confrontation style?,36f6dee9-9426-42fb-a922-792c87db2e1e,deep,TRUE,FALSE,FALSE,FALSE
What is your taste in TV shows? What are your top 3 shows,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,TRUE,FALSE,FALSE,FALSE
Do you like rules?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,medium,TRUE,FALSE,TRUE,FALSE
What is your greatest achievement?,50647b88-b49d-48c2-899f-01ec6f1ad77e,deep,FALSE,FALSE,TRUE,FALSE
What relationship in your life are you most proud of?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,medium,TRUE,TRUE,TRUE,FALSE
Do you get on with kids? Do you play games? Which games?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,medium,TRUE,FALSE,TRUE,FALSE
Do you like drawing?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,deep,TRUE,FALSE,FALSE,FALSE
What’s your favourite way to move your body?,ccdac514-519c-4c2c-b9e6-643688ac73ba,deep,TRUE,TRUE,TRUE,FALSE
When making choices are you led by thought or feeling?,9c219554-49de-4a99-8c14-86ea62a84c41,medium,TRUE,TRUE,FALSE,FALSE
What is your best physical feature?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,medium,FALSE,FALSE,TRUE,FALSE
What kind of baby were you?,0144753f-3590-4091-bfeb-7433d137e5ba,medium,FALSE,FALSE,FALSE,FALSE
Do you play musical instruments?,c76b8c70-efce-4474-832a-6c3cccb6550e,lighthearted,FALSE,TRUE,FALSE,FALSE
Are you scared?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,TRUE,FALSE,TRUE,FALSE
Do you have an addictive personality?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,medium,TRUE,TRUE,FALSE,FALSE
Do you tend to be friends with your exes? Why or why not?,9c219554-49de-4a99-8c14-86ea62a84c41,medium,FALSE,FALSE,FALSE,FALSE
Would you go on a reality TV show? Why or why not?,36f6dee9-9426-42fb-a922-792c87db2e1e,deep,TRUE,FALSE,TRUE,FALSE
Do your parents understand what you do for a living?,09704acd-f205-4afd-807d-692f8e513840,deep,FALSE,TRUE,TRUE,FALSE
Are there queer people in your life?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,medium,FALSE,FALSE,FALSE,FALSE
Ethical brand consumption?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,lighthearted,TRUE,TRUE,TRUE,FALSE
"If you were to run into a celebrity you love, would you pretend to ignore them or go over and chat?",0144753f-3590-4091-bfeb-7433d137e5ba,deep,FALSE,FALSE,FALSE,FALSE
Dance in the centre of a club or in a dark corner?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,lighthearted,TRUE,TRUE,TRUE,FALSE
What’s your go to karaoke song?,50647b88-b49d-48c2-899f-01ec6f1ad77e,medium,TRUE,TRUE,FALSE,FALSE
What is the biggest/firesects animal you think you could fight and win?,2521097c-128f-4720-8b0e-ca2d946d96c0,medium,FALSE,TRUE,FALSE,FALSE
Do you think people are inherently good or bad?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,deep,TRUE,TRUE,FALSE,FALSE
Are you a planner?,ccdac514-519c-4c2c-b9e6-643688ac73ba,lighthearted,TRUE,TRUE,TRUE,FALSE
Are you a lawyer? Do you have a lawyer?,e4b7e410-7605-4bb8-b507-db5a3711a543,deep,TRUE,TRUE,FALSE,FALSE
What if your relationship to social media?,09704acd-f205-4afd-807d-692f8e513840,lighthearted,TRUE,FALSE,TRUE,FALSE
Do you have paazaz?,e4b7e410-7605-4bb8-b507-db5a3711a543,deep,TRUE,TRUE,TRUE,FALSE
Do you love with your heart or your mind?,e4b7e410-7605-4bb8-b507-db5a3711a543,lighthearted,TRUE,TRUE,TRUE,FALSE
Would you lend me £5?,09704acd-f205-4afd-807d-692f8e513840,lighthearted,FALSE,FALSE,TRUE,FALSE
Do you like your own company?,c76b8c70-efce-4474-832a-6c3cccb6550e,deep,TRUE,TRUE,FALSE,FALSE
Do you believe in life on other planets?,ccdac514-519c-4c2c-b9e6-643688ac73ba,lighthearted,TRUE,TRUE,TRUE,FALSE
What do you have to offer In the apocalypse?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,TRUE,FALSE,TRUE,FALSE
Do you look for nice shells to take home when you’re on the beach?,0144753f-3590-4091-bfeb-7433d137e5ba,medium,TRUE,FALSE,FALSE,FALSE
Tell me about the last time you did something brave?,2521097c-128f-4720-8b0e-ca2d946d96c0,medium,FALSE,FALSE,TRUE,FALSE
How do you think you’re going to die?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,deep,TRUE,FALSE,FALSE,FALSE
What’s your star sign?,2521097c-128f-4720-8b0e-ca2d946d96c0,medium,TRUE,FALSE,TRUE,FALSE
Would you inform us about any changes in your medical history in the furture?,9c219554-49de-4a99-8c14-86ea62a84c41,lighthearted,TRUE,FALSE,FALSE,FALSE
What would people say about you?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,medium,TRUE,TRUE,FALSE,FALSE
Do you perform well under pressure? (that's not a euphamism),50647b88-b49d-48c2-899f-01ec6f1ad77e,medium,TRUE,FALSE,FALSE,FALSE
Do you care about legacy?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,lighthearted,TRUE,FALSE,FALSE,FALSE
How do you want to be remembered?,9c219554-49de-4a99-8c14-86ea62a84c41,deep,FALSE,FALSE,FALSE,FALSE
Leader or follower? Listener or talker?,ccdac514-519c-4c2c-b9e6-643688ac73ba,medium,FALSE,TRUE,FALSE,FALSE
Are you comfortable with a child being brought up in a financial situation in a lesser or greater situation than yours?,2521097c-128f-4720-8b0e-ca2d946d96c0,deep,TRUE,TRUE,FALSE,FALSE
Would you donate to me again if I terminate in the first time?,ccdac514-519c-4c2c-b9e6-643688ac73ba,medium,FALSE,TRUE,TRUE,FALSE
Are you doing this because…. Doing it for a favour/doing a good deed/doing it for yourself? To start a cult?,50647b88-b49d-48c2-899f-01ec6f1ad77e,medium,FALSE,TRUE,TRUE,FALSE
How do you feel about abortion?,024a264a-fe34-469d-b60d-e74c3a519ca3,deep,TRUE,TRUE,FALSE,FALSE
What is your relationship with recreational substances?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,lighthearted,TRUE,FALSE,FALSE,FALSE
What’s the most common piece of feedback you receive?,c76b8c70-efce-4474-832a-6c3cccb6550e,deep,FALSE,FALSE,TRUE,FALSE
Early bird or night owl?,09704acd-f205-4afd-807d-692f8e513840,lighthearted,FALSE,FALSE,TRUE,FALSE
Your house is on fire- what do you save?,0144753f-3590-4091-bfeb-7433d137e5ba,lighthearted,FALSE,TRUE,FALSE,FALSE
What makes you laugh? When’s the last time you belly laughed?,50647b88-b49d-48c2-899f-01ec6f1ad77e,medium,TRUE,TRUE,TRUE,FALSE
How do you deal with grief?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,lighthearted,FALSE,TRUE,TRUE,FALSE
Is there anything else you feel like you should tell me?,9c219554-49de-4a99-8c14-86ea62a84c41,medium,FALSE,TRUE,TRUE,FALSE
